,State,District,Latitude,Longitude,District code,State name,Population,Male_Literate,Female_Literate,sex_ratio,literacy_rate
406,Tamil Nadu,Dharmapuri,12.300141200000006,78.11509813333339,630,TAMIL NADU,1506843,527599,390110,95.0,61.0
407,Tamil Nadu,Dindigul,10.377801390820574,77.78011279554937,612,TAMIL NADU,2159775,816180,665654,100.0,69.0
408,Tamil Nadu,Erode,11.267012155963302,77.42034334862392,610,TAMIL NADU,2251744,828300,664362,99.0,66.0
409,Tamil Nadu,Kancheepuram,12.496424756511884,80.08820360135913,604,TAMIL NADU,3998252,1611461,1401921,99.0,75.0
410,Tamil Nadu,Kanniyakumari,8.183466300191206,77.32053064053538,629,TAMIL NADU,1870374,780541,768197,102.0,83.0
411,Tamil Nadu,Karur,10.79532776617955,78.08749686847604,613,TAMIL NADU,1064493,401726,325318,102.0,68.0
412,Tamil Nadu,Madurai,9.904313833333331,78.01366033333332,623,TAMIL NADU,3038252,1223810,1049620,99.0,75.0
413,Tamil Nadu,Nagapattinam,10.789468161718286,79.79437299431483,618,TAMIL NADU,1616450,640916,572092,103.0,75.0
414,Tamil Nadu,Namakkal,11.33766638477801,78.14624841437633,609,TAMIL NADU,1726601,653312,522819,99.0,68.0
415,Tamil Nadu,Perambalur,11.260137758112096,78.86034011799416,615,TAMIL NADU,565223,208011,167812,100.0,66.0
416,Tamil Nadu,Pudukkottai,10.130514816433578,79.05444484265728,621,TAMIL NADU,1618345,608776,501769,101.0,69.0
417,Tamil Nadu,Ramanathapuram,9.31286995153476,78.99185362412462,626,TAMIL NADU,1353445,536487,442459,98.0,72.0
418,Tamil Nadu,Salem,11.629324202127655,78.2478257978723,608,TAMIL NADU,3482056,1285107,1000455,95.0,66.0
419,Tamil Nadu,Sivaganga,9.960306580645158,78.56535729032255,622,TAMIL NADU,1339101,526304,433440,100.0,72.0
420,Tamil Nadu,Thanjavur,10.387692255892237,79.3194869107745,620,TAMIL NADU,2405890,944264,846734,103.0,74.0
421,Tamil Nadu,Theni,9.924066666666668,77.43458833333332,624,TAMIL NADU,1245899,479403,390677,99.0,70.0
422,Tamil Nadu,Thiruvallur,13.275858101752885,80.19724702864492,602,TAMIL NADU,3728104,1495711,1296010,99.0,75.0
423,Tamil Nadu,Thiruvarur,10.368927409395978,79.60322893959727,619,TAMIL NADU,1264277,503085,443386,102.0,75.0
424,Tamil Nadu,Tiruvannamalai,12.419318947368414,79.23265631578953,606,TAMIL NADU,2464875,909803,717010,99.0,66.0
425,Tamil Nadu,Vellore,12.784882632293078,79.02643283582084,605,TAMIL NADU,3936331,1504355,1269573,101.0,70.0
426,Tamil Nadu,Virudhunagar,9.468872195892564,77.87641469194315,625,TAMIL NADU,1942288,760375,638413,101.0,72.0
427,Tripura,Dhalai,23.781360477941163,91.94654283088232,291,TRIPURA,378230,151643,124574,94.0,73.0
428,Tripura,North Tripura,24.121739755351683,92.17842538226292,292,TRIPURA,693947,275646,244756,97.0,75.0
429,Tripura,South Tripura,23.211874098057383,91.6065807585568,290,TRIPURA,876001,351082,295728,96.0,74.0
430,Tripura,West Tripura,23.780166241299337,91.41310788863107,289,TRIPURA,1725739,722998,638356,96.0,79.0
431,Uttar Pradesh,Agra,26.99512974910393,78.05278291517321,146,UTTAR PRADESH,4418797,1614594,1065916,87.0,61.0
432,Uttar Pradesh,Aligarh,27.93748576850093,78.00146831119557,143,UTTAR PRADESH,3673889,1283380,809187,88.0,57.0
433,Uttar Pradesh,Allahabad,25.392038662316445,82.05172446982063,175,UTTAR PRADESH,5954391,2199340,1466387,90.0,62.0
434,Uttar Pradesh,Ambedkar Nagar,26.39119025974028,82.68282142857147,178,UTTAR PRADESH,2397888,846676,640263,98.0,62.0
435,Uttar Pradesh,Auraiya,26.66892394014961,79.42637057356607,162,UTTAR PRADESH,1379545,546198,384638,86.0,67.0
436,Uttar Pradesh,Azamgarh,26.008290954773837,83.01220251256285,191,UTTAR PRADESH,4613913,1559414,1212503,102.0,60.0
437,Uttar Pradesh,Baghpat,29.045793499999988,77.30266300000001,139,UTTAR PRADESH,1303048,489858,308112,86.0,61.0
438,Uttar Pradesh,Bahraich,27.691776300578027,81.46779783237004,180,UTTAR PRADESH,3487731,878285,520083,89.0,40.0
439,Uttar Pradesh,Ballia,25.86075638297873,84.03651978723408,193,UTTAR PRADESH,3239774,1160960,802630,94.0,61.0
